 ,Area,Min,Max,Slice
436,295,255,255,1
437,347,255,255,1
438,233,255,255,1
439,236,255,255,1
440,265,255,255,1
441,296,255,255,1
442,304,255,255,1
443,324,255,255,1
444,431,255,255,1
445,304,255,255,1
446,488,255,255,1
447,260,255,255,1
448,298,255,255,1
449,234,255,255,1
450,266,255,255,1
451,273,255,255,1
452,253,255,255,1
453,238,255,255,1
454,185,255,255,1
455,240,255,255,1
456,294,255,255,1
457,338,255,255,1
458,247,255,255,1
459,242,255,255,1
460,428,255,255,1
461,422,255,255,1
462,240,255,255,1
463,286,255,255,1
464,283,255,255,1
465,241,255,255,1
466,273,255,255,1
467,45,255,255,1
468,288,255,255,1
469,341,255,255,1
470,213,255,255,1
471,480,255,255,1
472,255,255,255,1
473,418,255,255,1
474,211,255,255,1
475,95,255,255,1
476,279,255,255,1
477,129,255,255,1
478,245,255,255,1
479,287,255,255,1
480,360,255,255,1
481,217,255,255,1
482,108,255,255,1
483,387,255,255,1
484,195,255,255,1
485,246,255,255,1
486,239,255,255,1
487,342,255,255,1
488,260,255,255,1
489,393,255,255,1
490,272,255,255,1
491,372,255,255,1
492,316,255,255,1
493,369,255,255,1
494,242,255,255,1
495,245,255,255,1
496,393,255,255,1
497,282,255,255,1
498,283,255,255,1
499,253,255,255,1
500,292,255,255,1
501,35,255,255,1
502,432,255,255,1
503,291,255,255,1
504,204,255,255,1
505,242,255,255,1
506,411,255,255,1
507,406,255,255,1
508,297,255,255,1
509,440,255,255,1
510,234,255,255,1
511,380,255,255,1
512,331,255,255,1
513,222,255,255,1
514,441,255,255,1
515,400,255,255,1
516,462,255,255,1
517,319,255,255,1
518,354,255,255,1
519,281,255,255,1
520,313,255,255,1
521,221,255,255,1
522,219,255,255,1
523,308,255,255,1
524,237,255,255,1
525,245,255,255,1
526,254,255,255,1
527,257,255,255,1
528,490,255,255,1
529,253,255,255,1
530,385,255,255,1
531,250,255,255,1
532,434,255,255,1
533,272,255,255,1
534,399,255,255,1
535,303,255,255,1
536,280,255,255,1
537,269,255,255,1
538,202,255,255,1
539,387,255,255,1
540,305,255,255,1
541,349,255,255,1
542,74,255,255,1
543,316,255,255,1
544,253,255,255,1
545,270,255,255,1
546,397,255,255,1
547,350,255,255,1
548,231,255,255,1
549,428,255,255,1
550,358,255,255,1
551,227,255,255,1
552,275,255,255,1
553,37,255,255,1
554,485,255,255,1
555,237,255,255,1
556,481,255,255,1
557,345,255,255,1
558,485,255,255,1
559,234,255,255,1
560,279,255,255,1
561,236,255,255,1
562,470,255,255,1
563,253,255,255,1
564,218,255,255,1
565,263,255,255,1
566,258,255,255,1
567,292,255,255,1
568,498,255,255,1
569,266,255,255,1
570,281,255,255,1
571,251,255,255,1
572,317,255,255,1
573,298,255,255,1
574,308,255,255,1
575,391,255,255,1
576,329,255,255,1
577,397,255,255,1
578,253,255,255,1
579,341,255,255,1
580,251,255,255,1
581,225,255,255,1
582,272,255,255,1
583,255,255,255,1
584,223,255,255,1
585,327,255,255,1
586,241,255,255,1
587,282,255,255,1
588,381,255,255,1
589,337,255,255,1
590,418,255,255,1
591,238,255,255,1
592,249,255,255,1
593,233,255,255,1
594,144,255,255,1
595,164,255,255,1
596,202,255,255,1
597,259,255,255,1
598,299,255,255,1
599,393,255,255,1
600,286,255,255,1
601,411,255,255,1
602,294,255,255,1
603,350,255,255,1
604,495,255,255,1
605,338,255,255,1
606,343,255,255,1
607,298,255,255,1
608,492,255,255,1
609,417,255,255,1
610,373,255,255,1
611,323,255,255,1
612,280,255,255,1
613,434,255,255,1
614,298,255,255,1
615,272,255,255,1
616,338,255,255,1
617,361,255,255,1
618,253,255,255,1
619,356,255,255,1
620,403,255,255,1
621,226,255,255,1
622,311,255,255,1
623,327,255,255,1
624,344,255,255,1
625,315,255,255,1
626,284,255,255,1
627,445,255,255,1
628,440,255,255,1
629,54,255,255,1
630,306,255,255,1
631,314,255,255,1
632,277,255,255,1
633,151,255,255,1
634,303,255,255,1
635,314,255,255,1
636,153,255,255,1
637,246,255,255,1
638,248,255,255,1
639,198,255,255,1
640,398,255,255,1
641,273,255,255,1
642,236,255,255,1
643,483,255,255,1
644,200,255,255,1
645,279,255,255,1
646,332,255,255,1
647,356,255,255,1
648,277,255,255,1
649,242,255,255,1
650,336,255,255,1
651,311,255,255,1
